Date : 2024-05-07 20:42:40
Directory : c:\Users\subar\OneDrive\Desktop\Diplome
Total : 139 files,  68428 codes, 54 comments, 609 blanks, all 69091 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\overview.glb.log      | Log        |      1,443 |          0 |          1 |      1,444 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\stable.glb.log        | Log        |        609 |          0 |          1 |        610 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\steer.glb.log         | Log        |        609 |          0 |          1 |        610 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\old\susp.glb.log          | Log        |        718 |          0 |          1 |        719 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\alter.glb.log                     | Log        |        694 |          0 |          1 |        695 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\beltTens.glb.log                  | Log        |        876 |          0 |          1 |        877 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\block.glb.log                     | Log        |        603 |          0 |          1 |        604 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\camGears.glb.log                  | Log        |        627 |          0 |          1 |        628 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\cams.glb.log                      | Log        |        759 |          0 |          1 |        760 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\chainTensShoe.glb.log             | Log        |        639 |          0 |          1 |        640 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\conrodPiston.glb.log              | Log        |        759 |          0 |          1 |        760 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\crankshaft.glb.log                | Log        |        651 |          0 |          1 |        652 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\cylHead.glb.log                   | Log        |        675 |          0 |          1 |        676 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\cylHeadCover.glb.log              | Log        |        875 |          0 |          1 |        876 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\engineCover.glb.log               | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\exhaust.glb.log                   | Log        |        699 |          0 |          1 |        700 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\harm.glb.log                      | Log        |        603 |          0 |          1 |        604 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\injectors.glb.log                 | Log        |        524 |          0 |          1 |        525 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\intake.glb.log                    | Log        |        621 |          0 |          1 |        622 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\oilfilter.glb.log                 | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\oilpan.glb.log                    | Log        |        560 |          0 |          1 |        561 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\overview.glb.log                  | Log        |      1,899 |          0 |          1 |      1,900 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\powersteering.glb.log             | Log        |        609 |          0 |          1 |        610 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\spark.glb.log                     | Log        |        687 |          0 |          1 |        688 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\throttle.glb.log                  | Log        |        621 |          0 |          1 |        622 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\timingCover.glb.log               | Log        |        621 |          0 |          1 |        622 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\v6\waterpumpNPulley.glb.log          | Log        |        645 |          0 |          1 |        646 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy.html                              | HTML       |         55 |          0 |         10 |         65 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\clutchTrouble.html                | HTML       |        109 |          0 |         14 |        123 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\engineTrouble.html                | HTML       |        246 |          0 |         25 |        271 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\suspTrouble.html                  | HTML       |        259 |          0 |         28 |        287 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\diy\tranTrouble.html                  | HTML       |        206 |          0 |         25 |        231 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain.html                       | HTML       |         51 |          0 |         14 |         65 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain\fwd.html                   | HTML       |         75 |          4 |         18 |         97 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\drivetrain\rwd.html                   | HTML       |         75 |          4 |         18 |         97 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\engines.html                          | HTML       |         58 |          0 |         14 |         72 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\index.html                            | HTML       |         49 |          0 |          9 |         58 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\inline4P.html                  | HTML       |        141 |          4 |         39 |        184 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\rotary.html                    | HTML       |         75 |          2 |         17 |         94 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\petrol\v6P.html                       | HTML       |         75 |          2 |         17 |         94 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\quizes.html                           | HTML       |         44 |          0 |          3 |         47 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\sources.html                          | HTML       |         92 |          0 |         13 |        105 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension.html                       | HTML       |         52 |          0 |         14 |         66 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension\newsusp.html               | HTML       |         78 |          4 |         18 |        100 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\suspension\oldsusp.html               | HTML       |         72 |          2 |         17 |         91 |
| c:\Users\subar\OneDrive\Desktop\Diplome\pages\temp models.html                      | HTML       |         22 |         15 |         14 |         51 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\diyDrop.js                          | JavaScript |         13 |          0 |          0 |         13 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsRotary.js                 | JavaScript |        103 |          0 |         12 |        115 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsV6.js                     | JavaScript |        103 |          0 |         12 |        115 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsi4.js                     | JavaScript |        104 |          0 |         11 |        115 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\fwdButtons.js                       | JavaScript |         82 |          0 |         12 |         94 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\loading.js                          | JavaScript |          4 |          3 |          0 |          7 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\newSusButtons.js                    | JavaScript |         89 |          0 |         11 |        100 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\oldSusButtons.js                    | JavaScript |         89 |          0 |         11 |        100 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quiz.js                             | JavaScript |         80 |          8 |         20 |        108 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\rwdButtons.js                       | JavaScript |         82 |          0 |         12 |         94 |
| c:\Users\subar\OneDrive\Desktop\Diplome\scripts\toTop.js                            | JavaScript |         11 |          0 |          1 |         12 |
| Total                                                                               |            |     68,428 |         54 |        609 |     69,091 |
+-------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
