"filename", "language", "JavaScript", "Log", "CSS", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsRotary.js", "JavaScript", -103, 0, 0, 0, -12, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsV6.js", "JavaScript", -103, 0, 0, 0, -12, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsi4.js", "JavaScript", -104, 0, 0, 0, -11, -115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\fwdButtons.js", "JavaScript", -82, 0, 0, 0, -12, -94
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\loading.js", "JavaScript", -4, 0, 0, -3, 0, -7
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\newSusButtons.js", "JavaScript", -89, 0, 0, 0, -11, -100
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\oldSusButtons.js", "JavaScript", -89, 0, 0, 0, -11, -100
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quiz.js", "JavaScript", -80, 0, 0, -8, -20, -108
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\rwdButtons.js", "JavaScript", -82, 0, 0, 0, -12, -94
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\toTop.js", "JavaScript", -11, 0, 0, 0, -1, -12
"Total", "-", -760, -65315, -519, -17, -282, -66893
